,2017 NAICS Title,2017 NAICS Code,2012 NAICS Code,2007 NAICS Code,2002 NAICS Code,1997 NAICS Code
57,Hunting and Trapping,114210,114210,114210,114210,114210
58,Cotton Ginning,115111,115111,115111,115111,115111
59,"Soil Preparation, Planting, and Cultivating",115112,115112,115112,115112,115112
60,"Crop Harvesting, Primarily by Machine",115113,115113,115113,115113,115113
61,Postharvest Crop Activities (except Cotton Ginning),115114,115114,115114,115114,115114
62,Farm Labor Contractors and Crew Leaders,115115,115115,115115,115115,115115
63,Farm Management Services,115116,115116,115116,115116,115116
64,Support Activities for Animal Production,115210,115210,115210,115210,115210
65,Support Activities for Forestry,115310,115310,115310,115310,115310
66,Crude Petroleum Extraction,211120,211111,211111,211111,211111
67,Natural Gas Extraction,211130,211111,211111,211111,211111
68,Natural Gas Extraction,211130,211112,211112,211112,211112
69,Bituminous Coal and Lignite Surface Mining,212111,212111,212111,212111,212111
70,Bituminous Coal Underground Mining,212112,212112,212112,212112,212112
71,Anthracite Mining,212113,212113,212113,212113,212113
72,Iron Ore Mining,212210,212210,212210,212210,212210
73,Gold Ore Mining,212221,212221,212221,212221,212221
74,Silver Ore Mining,212222,212222,212222,212222,212222
75,"Copper, Nickel, Lead, and Zinc Mining",212230,212231,212231,212231,212231
76,"Copper, Nickel, Lead, and Zinc Mining",212230,212234,212234,212234,212234
77,Uranium-Radium-Vanadium Ore Mining,212291,212291,212291,212291,212291
78,All Other Metal Ore Mining,212299,212299,212299,212299,212299
79,Dimension Stone Mining and Quarrying,212311,212311,212311,212311,212311
80,Crushed and Broken Limestone Mining and Quarrying,212312,212312,212312,212312,212312
81,Crushed and Broken Granite Mining and Quarrying,212313,212313,212313,212313,212313
82,Other Crushed and Broken Stone Mining and Quarrying,212319,212319,212319,212319,212319
83,Construction Sand and Gravel Mining,212321,212321,212321,212321,212321
84,Industrial Sand Mining,212322,212322,212322,212322,212322
85,Kaolin and Ball Clay Mining,212324,212324,212324,212324,212324
86,Clay and Ceramic and Refractory Minerals Mining,212325,212325,212325,212325,212325
87,"Potash, Soda, and Borate Mineral Mining",212391,212391,212391,212391,212391
88,Phosphate Rock Mining,212392,212392,212392,212392,212392
89,Other Chemical and Fertilizer Mineral Mining,212393,212393,212393,212393,212393
90,All Other Nonmetallic Mineral Mining,212399,212399,212399,212399,212399
91,Drilling Oil and Gas Wells,213111,213111,213111,213111,213111
92,Support Activities for Oil and Gas Operations,213112,213112,213112,213112,213112
93,Support Activities for Coal Mining,213113,213113,213113,213113,213113
94,Support Activities for Metal Mining,213114,213114,213114,213114,213114
95,Support Activities for Nonmetallic Minerals (except Fuels) Mining,213115,213115,213115,213115,213115
96,Hydroelectric Power Generation,221111,221111,221111,221111,221111
97,Fossil Fuel Electric Power Generation,221112,221112,221112,221112,221112
98,Nuclear Electric Power Generation,221113,221113,221113,221113,221113
99,Solar Electric Power Generation,221114,221114,221119,221119,221119
100,Wind Electric Power Generation,221115,221115,221119,221119,221119
101,Geothermal Electric Power Generation,221116,221116,221119,221119,221119
102,Biomass Electric Power Generation,221117,221117,221119,221119,221119
103,Other Electric Power Generation,221118,221118,221119,221119,221119
104,Electric Bulk Power Transmission and Control,221121,221121,221121,221121,221121
105,Electric Power Distribution,221122,221122,221122,221122,221122
106,Natural Gas Distribution,221210,221210,221210,221210,221210
107,Water Supply and Irrigation Systems,221310,221310,221310,221310,221310
108,Sewage Treatment Facilities,221320,221320,221320,221320,221320
109,Steam and Air-Conditioning Supply,221330,221330,221330,221330,221330
110,New Single-Family Housing Construction (except For-Sale Builders),236115,236115,236115,236115,233210
111,New Multifamily Housing Construction (except For-Sale Builders),236116,236116,236116,236116,233220
112,New Housing For-Sale Builders,236117,236117,236117,236117,233210
113,New Housing For-Sale Builders,236117,236117,236117,236117,233220
114,Residential Remodelers,236118,236118,236118,236118,233210
115,Residential Remodelers,236118,236118,236118,236118,233220
116,Industrial Building Construction,236210,236210,236210,236210,233310
117,Industrial Building Construction,236210,236210,236210,236210,234930
118,Industrial Building Construction,236210,236210,236210,236210,234990
119,Commercial and Institutional Building Construction,236220,236220,236220,236220,233220
120,Commercial and Institutional Building Construction,236220,236220,236220,236220,233310
121,Commercial and Institutional Building Construction,236220,236220,236220,236220,233320
122,Commercial and Institutional Building Construction,236220,236220,236220,236220,235990
123,Water and Sewer Line and Related Structures Construction,237110,237110,237110,237110,234910
124,Water and Sewer Line and Related Structures Construction,237110,237110,237110,237110,234990
125,Water and Sewer Line and Related Structures Construction,237110,237110,237110,237110,235810
126,Oil and Gas Pipeline and Related Structures Construction,237120,237120,237120,237120,213112
127,Oil and Gas Pipeline and Related Structures Construction,237120,237120,237120,237120,234910
128,Oil and Gas Pipeline and Related Structures Construction,237120,237120,237120,237120,234930
129,Power and Communication Line and Related Structures Construction,237130,237130,237130,237130,234920
130,Power and Communication Line and Related Structures Construction,237130,237130,237130,237130,234930
131,Land Subdivision,237210,237210,237210,237210,233110
132,"Highway, Street, and Bridge Construction",237310,237310,237310,237310,234110
133,"Highway, Street, and Bridge Construction",237310,237310,237310,237310,234120
134,"Highway, Street, and Bridge Construction",237310,237310,237310,237310,235210
135,Other Heavy and Civil Engineering Construction,237990,237990,237990,237990,234120
136,Other Heavy and Civil Engineering Construction,237990,237990,237990,237990,234990
137,Other Heavy and Civil Engineering Construction,237990,237990,237990,237990,235990
138,Poured Concrete Foundation and Structure Contractors,238110,238110,238110,238110,235710
139,Structural Steel and Precast Concrete Contractors,238120,238120,238120,238120,235910
140,Framing Contractors,238130,238130,238130,238130,235510
141,Masonry Contractors,238140,238140,238140,238140,235410
142,Masonry Contractors,238140,238140,238140,238140,235420
143,Glass and Glazing Contractors,238150,238150,238150,238150,235920
144,Roofing Contractors,238160,238160,238160,238160,235610
145,Siding Contractors,238170,238170,238170,238170,235610
146,"Other Foundation, Structure, and Building Exterior Contractors",238190,238190,238190,238190,235910
147,"Other Foundation, Structure, and Building Exterior Contractors",238190,238190,238190,238190,235990
148,Drywall and Insulation Contractors,238310,238310,238190,238190,235910
149,Drywall and Insulation Contractors,238310,238310,238190,238190,235990
150,Electrical Contractors and Other Wiring Installation Contractors,238210,238210,238210,238210,235110
151,Electrical Contractors and Other Wiring Installation Contractors,238210,238210,238210,238210,235310
152,"Plumbing, Heating, and Air-Conditioning Contractors",238220,238220,238220,238220,235110
153,"Plumbing, Heating, and Air-Conditioning Contractors",238220,238220,238220,238220,235910
154,"Plumbing, Heating, and Air-Conditioning Contractors",238220,238220,238220,238220,235950
155,Other Building Equipment Contractors,238290,238290,238290,238290,235950
156,Other Building Equipment Contractors,238290,238290,238290,238290,235990
157,Drywall and Insulation Contractors,238310,238310,238310,238310,235420
158,Drywall and Insulation Contractors,238310,238310,238330,238330,235520
159,Flooring Contractors,238330,238330,238330,238330,235520
160,Painting and Wall Covering Contractors,238320,238320,238320,238320,235210
161,Tile and Terrazzo Contractors,238340,238340,238340,238340,235430
162,Finish Carpentry Contractors,238350,238350,238350,238350,235510
163,Other Building Finishing Contractors,238390,238390,238390,238390,235610
164,Other Building Finishing Contractors,238390,238390,238390,238390,235990
165,Site Preparation Contractors,238910,238910,238910,238910,213112
166,Site Preparation Contractors,238910,238910,238910,238910,213113
167,Site Preparation Contractors,238910,238910,238910,238910,213114
168,Site Preparation Contractors,238910,238910,238910,238910,213115
169,Site Preparation Contractors,238910,238910,238910,238910,234990
170,Site Preparation Contractors,238910,238910,238910,238910,235110
171,Site Preparation Contractors,238910,238910,238910,238910,235930
172,Site Preparation Contractors,238910,238910,238910,238910,235940
173,Site Preparation Contractors,238910,238910,238910,238910,235990
174,All Other Specialty Trade Contractors,238990,238990,238990,238990,234990
175,All Other Specialty Trade Contractors,238990,238990,238990,238990,235710
176,All Other Specialty Trade Contractors,238990,238990,238990,238990,235990
177,All Other Specialty Trade Contractors,238990,238990,238990,238990,561720
178,Dog and Cat Food Manufacturing,311111,311111,311111,311111,311111
179,Other Animal Food Manufacturing,311119,311119,311119,311119,311119
180,Flour Milling,311211,311211,311211,311211,311211
181,Rice Milling,311212,311212,311212,311212,311212
182,Malt Manufacturing,311213,311213,311213,311213,311213
183,Wet Corn Milling,311221,311221,311221,311221,311221
184,Soybean and Other Oilseed Processing,311224,311224,311222,311222,311222
185,Soybean and Other Oilseed Processing,311224,311224,311223,311223,311223
186,Fats and Oils Refining and Blending,311225,311225,311225,311225,311225
187,Breakfast Cereal Manufacturing,311230,311230,311230,311230,311230
188,Beet Sugar Manufacturing,311313,311313,311313,311313,311313
189,Cane Sugar Manufacturing,311314,311314,311311,311311,311311
190,Cane Sugar Manufacturing,311314,311314,311312,311312,311312
191,Nonchocolate Confectionery Manufacturing,311340,311340,311340,311340,311340
192,Chocolate and Confectionery Manufacturing from Cacao Beans,311351,311351,311320,311320,311320
193,Confectionery Manufacturing from Purchased Chocolate,311352,311352,311330,311330,311330
194,"Frozen Fruit, Juice, and Vegetable Manufacturing",311411,311411,311411,311411,311411
195,Frozen Specialty Food Manufacturing,311412,311412,311412,311412,311412
196,Fruit and Vegetable Canning,311421,311421,311421,311421,311421
197,Specialty Canning,311422,311422,311422,311422,311422
198,Dried and Dehydrated Food Manufacturing,311423,311423,311423,311423,311423
199,Fluid Milk Manufacturing,311511,311511,311511,311511,311511
200,Creamery Butter Manufacturing,311512,311512,311512,311512,311512
201,Cheese Manufacturing,311513,311513,311513,311513,311513
202,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",311514,311514,311514,311514,311514
203,Ice Cream and Frozen Dessert Manufacturing,311520,311520,311520,311520,311520
204,Animal (except Poultry) Slaughtering,311611,311611,311611,311611,311611
205,Meat Processed from Carcasses,311612,311612,311612,311612,311612
206,Rendering and Meat Byproduct Processing,311613,311613,311613,311613,311613
207,Poultry Processing,311615,311615,311615,311615,311615
208,Seafood Product Preparation and Packaging,311710,311710,311711,311711,311711
209,Seafood Product Preparation and Packaging,311710,311710,311712,311712,311712
210,Retail Bakeries,311811,311811,311811,311811,311811
211,Commercial Bakeries,311812,311812,311812,311812,311812
212,"Frozen Cakes, Pies, and Other Pastries Manufacturing",311813,311813,311813,311813,311813
213,Cookie and Cracker Manufacturing,311821,311821,311821,311821,311821
214,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,311824,311822,311822,311822
215,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",311824,311824,311823,311823,311823
216,Tortilla Manufacturing,311830,311830,311830,311830,311830
217,Roasted Nuts and Peanut Butter Manufacturing,311911,311911,311911,311911,311911
218,Other Snack Food Manufacturing,311919,311919,311919,311919,311919
219,Coffee and Tea Manufacturing,311920,311920,311920,311920,311920
220,Flavoring Syrup and Concentrate Manufacturing,311930,311930,311930,311930,311930
221,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",311941,311941,311941,311941,311941
222,Spice and Extract Manufacturing,311942,311942,311942,311942,311942
223,Perishable Prepared Food Manufacturing,311991,311991,311991,311991,311991
224,All Other Miscellaneous Food Manufacturing,311999,311999,311999,311999,311999
225,Soft Drink Manufacturing,312111,312111,312111,312111,312111
226,Bottled Water Manufacturing,312112,312112,312112,312112,312112
227,Ice Manufacturing,312113,312113,312113,312113,312113
228,Breweries,312120,312120,312120,312120,312120
229,Wineries,312130,312130,312130,312130,312130
230,Distilleries,312140,312140,312140,312140,312140
231,Tobacco Manufacturing,312230,312230,312210,312210,312210
232,Tobacco Manufacturing,312230,312230,312221,312221,312221
233,Tobacco Manufacturing,312230,312230,312229,312229,312229
234,"Fiber, Yarn, and Thread Mills",313110,313110,313111,313111,313111
235,"Fiber, Yarn, and Thread Mills",313110,313110,313112,313112,313112
236,"Fiber, Yarn, and Thread Mills",313110,313110,313113,313113,313113
237,Broadwoven Fabric Mills,313210,313210,313210,313210,313210
238,Narrow Fabric Mills and Schiffli Machine Embroidery,313220,313220,313221,313221,313221
239,Narrow Fabric Mills and Schiffli Machine Embroidery,313220,313220,313222,313222,313222
240,Nonwoven Fabric Mills,313230,313230,313230,313230,313230
241,Knit Fabric Mills,313240,313240,313241,313241,313241
242,Knit Fabric Mills,313240,313240,313249,313249,313249
243,Textile and Fabric Finishing Mills,313310,313310,313311,313311,313311
244,Textile and Fabric Finishing Mills,313310,313310,313312,313312,313312
245,Fabric Coating Mills,313320,313320,313320,313320,313320
246,Carpet and Rug Mills,314110,314110,314110,314110,314110
247,Curtain and Linen Mills,314120,314120,314121,314121,314121
248,Curtain and Linen Mills,314120,314120,314129,314129,314129
249,Textile Bag and Canvas Mills,314910,314910,314911,314911,314911
250,Textile Bag and Canvas Mills,314910,314910,314912,314912,314912
251,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",314994,314994,314991,314991,314991
252,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",314994,314994,314992,314992,314992
253,All Other Miscellaneous Textile Product Mills,314999,314999,314999,314999,314999
254,All Other Miscellaneous Textile Product Mills,314999,314999,314999,315211,315211
255,Cut and Sew Apparel Contractors,315210,315210,315211,315211,315211
256,All Other Miscellaneous Textile Product Mills,314999,314999,314999,315212,315212
257,Cut and Sew Apparel Contractors,315210,315210,315212,315212,315212
258,Hosiery and Sock Mills,315110,315110,315111,315111,315111
259,Hosiery and Sock Mills,315110,315110,315119,315119,315119
260,Other Apparel Knitting Mills,315190,315190,315191,315191,315191
261,Other Apparel Knitting Mills,315190,315190,315192,315192,315192
262,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315221,315221,315221
263,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315222,315222,315222
264,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315223,315223,315223
265,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315224,315224,315224
266,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315225,315225,315225
267,Men's and Boys' Cut and Sew Apparel Manufacturing,315220,315220,315228,315228,315228
268,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315231,315231,315231
269,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315232,315232,315232
270,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315233,315233,315233
271,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315234,315234,315234
272,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315239,315239,315239
273,"Women's, Girls', and Infants' Cut and Sew Apparel Manufacturing",315240,315240,315291,315291,315291
274,Other Cut and Sew Apparel Manufacturing,315280,315280,315292,315292,315292
275,Other Cut and Sew Apparel Manufacturing,315280,315280,315299,315299,315299
276,Apparel Accessories and Other Apparel Manufacturing,315990,315990,315991,315991,315991
277,Apparel Accessories and Other Apparel Manufacturing,315990,315990,315992,315992,315992
278,Apparel Accessories and Other Apparel Manufacturing,315990,315990,315993,315993,315993
279,Apparel Accessories and Other Apparel Manufacturing,315990,315990,315999,315999,315999
280,Leather and Hide Tanning and Finishing,316110,316110,316110,316110,316110
281,Footwear Manufacturing,316210,316210,316211,316211,316211
282,Footwear Manufacturing,316210,316210,316212,316212,316212
283,Footwear Manufacturing,316210,316210,316213,316213,316213
284,Footwear Manufacturing,316210,316210,316214,316214,316214
285,Footwear Manufacturing,316210,316210,316219,316219,316219
286,Women's Handbag and Purse Manufacturing,316992,316992,316992,316992,316992
287,All Other Leather Good and Allied Product Manufacturing,316998,316998,316991,316991,316991
288,All Other Leather Good and Allied Product Manufacturing,316998,316998,316993,316993,316993
289,All Other Leather Good and Allied Product Manufacturing,316998,316998,316999,316999,316999
290,Sawmills,321113,321113,321113,321113,321113
291,Wood Preservation,321114,321114,321114,321114,321114
292,Hardwood Veneer and Plywood Manufacturing,321211,321211,321211,321211,321211
293,Softwood Veneer and Plywood Manufacturing,321212,321212,321212,321212,321212
294,Engineered Wood Member (except Truss) Manufacturing,321213,321213,321213,321213,321213
295,Truss Manufacturing,321214,321214,321214,321214,321214
296,Reconstituted Wood Product Manufacturing,321219,321219,321219,321219,321219
297,Wood Window and Door Manufacturing,321911,321911,321911,321911,321911
298,"Cut Stock, Resawing Lumber, and Planing",321912,321912,321912,321912,321912
299,Other Millwork (including Flooring),321918,321918,321918,321918,321918
300,Wood Container and Pallet Manufacturing,321920,321920,321920,321920,321920
301,Manufactured Home (Mobile Home) Manufacturing,321991,321991,321991,321991,321991
302,Prefabricated Wood Building Manufacturing,321992,321992,321992,321992,321992
303,All Other Miscellaneous Wood Product Manufacturing,321999,321999,321999,321999,321999
304,All Other Miscellaneous Wood Product Manufacturing,321999,321999,337129,337129,337129
305,Pulp Mills,322110,322110,322110,322110,322110
306,Paper (except Newsprint) Mills,322121,322121,322121,322121,322121
307,Newsprint Mills,322122,322122,322122,322122,322122
308,Paperboard Mills,322130,322130,322130,322130,322130
309,Corrugated and Solid Fiber Box Manufacturing,322211,322211,322211,322211,322211
310,Folding Paperboard Box Manufacturing,322212,322212,322212,322212,322212
311,Other Paperboard Container Manufacturing,322219,322219,322213,322213,322213
312,Other Paperboard Container Manufacturing,322219,322219,322214,322214,322214
313,Other Paperboard Container Manufacturing,322219,322219,322215,322215,322215
314,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322221,322221,322221
315,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322222,322222,322222
316,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322223,322223,322223
317,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322224,322224,322224
318,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322225,322225,322225
319,Paper Bag and Coated and Treated Paper Manufacturing,322220,322220,322226,322226,322226
320,Stationery Product Manufacturing,322230,322230,322231,322231,322231
321,Stationery Product Manufacturing,322230,322230,322232,322232,322232
322,Stationery Product Manufacturing,322230,322230,322233,322233,322233
323,Sanitary Paper Product Manufacturing,322291,322291,322291,322291,322291
324,All Other Converted Paper Product Manufacturing,322299,322299,322299,322299,322299
325,Commercial Printing (except Screen and Books),323111,323111,323110,323110,323110
326,Commercial Printing (except Screen and Books),323111,323111,323111,323111,323111
327,Commercial Printing (except Screen and Books),323111,323111,323112,323112,323112
328,Commercial Printing (except Screen and Books),323111,323111,323114,323114,323114
329,Commercial Printing (except Screen and Books),323111,323111,323115,323115,323115
330,Commercial Printing (except Screen and Books),323111,323111,323116,323116,323116
331,Commercial Printing (except Screen and Books),323111,323111,323118,323118,323118
332,Commercial Printing (except Screen and Books),323111,323111,323119,323119,323119
333,Commercial Screen Printing,323113,323113,323113,323113,323113
334,Books Printing,323117,323117,323117,323117,323117
335,Support Activites for Printing,323120,323120,323121,323121,323121
336,Support Activites for Printing,323120,323120,323122,323122,323122
337,Petroleum Refineries,324110,324110,324110,324110,324110
338,Asphalt Paving Mixture and Block Manufacturing,324121,324121,324121,324121,324121
339,Asphalt Shingle and Coating Materials Manufacturing,324122,324122,324122,324122,324122
340,Petroleum Lubricating Oil and Grease Manufacturing,324191,324191,324191,324191,324191
341,All Other Petroleum and Coal Products Manufacturing,324199,324199,324199,324199,324199
342,Petrochemical Manufacturing,325110,325110,325110,325110,325110
343,Industrial Gas Manufacturing,325120,325120,325120,325120,325120
344,Synthetic Dye and Pigment Manufacturing,325130,325130,325131,325131,325131
345,Synthetic Dye and Pigment Manufacturing,325130,325130,325132,325132,325132
346,Other Basic Inorganic Chemical Manufacturing,325180,325180,325181,325181,325181
347,Other Basic Inorganic Chemical Manufacturing,325180,325180,325182,325182,325182
348,Other Basic Inorganic Chemical Manufacturing,325180,325180,325188,325188,325188
349,Ethyl Alcohol Manufacturing,325193,325193,325193,325193,325193
350,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",325194,325194,325191,325191,325191
351,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",325194,325194,325192,325192,325192
352,All Other Basic Organic Chemical Manufacturing,325199,325199,325199,325199,325199
353,Plastics Material and Resin Manufacturing,325211,325211,325211,325211,325211
354,Synthetic Rubber Manufacturing,325212,325212,325212,325212,325212
355,Artificial and Synthetic Fibers and Filaments Manufacturing,325220,325220,325221,325221,325221
356,Artificial and Synthetic Fibers and Filaments Manufacturing,325220,325220,325222,325222,325222
357,Nitrogenous Fertilizer Manufacturing,325311,325311,325311,325311,325311
358,Phosphatic Fertilizer Manufacturing,325312,325312,325312,325312,325312
359,Fertilizer (Mixing Only) Manufacturing,325314,325314,325314,325314,325314
360,Pesticide and Other Agricultural Chemical Manufacturing,325320,325320,325320,325320,325320
361,Medicinal and Botanical Manufacturing,325411,325411,325411,325411,325411
362,Pharmaceutical Preparation Manufacturing,325412,325412,325412,325412,325412
363,In-Vitro Diagnostic Substance Manufacturing,325413,325413,325413,325413,325413
364,Biological Product (except Diagnostic) Manufacturing,325414,325414,325414,325414,325414
365,Paint and Coating Manufacturing,325510,325510,325510,325510,325510
366,Adhesive Manufacturing,325520,325520,325520,325520,325520
367,Soap and Other Detergent Manufacturing,325611,325611,325611,325611,325611
368,Polish and Other Sanitation Good Manufacturing,325612,325612,325612,325612,325612
369,Surface Active Agent Manufacturing,325613,325613,325613,325613,325613
370,Toilet Preparation Manufacturing,325620,325620,325620,325620,325620
371,Printing Ink Manufacturing,325910,325910,325910,325910,325910
372,Explosives Manufacturing,325920,325920,325920,325920,325920
373,Custom Compounding of Purchased Resins,325991,325991,325991,325991,325991
374,"Photographic Film, Paper, Plate, and Chemical Manufacturing",325992,325992,325992,325992,325992
375,All Other Miscellaneous Chemical Product and Preparation Manufacturing,325998,325998,325998,325998,325998
376,Plastics Bag and Pouch Manufacturing,326111,326111,326111,326111,326111
377,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,326112,326112,326112,326112,326112
378,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,326113,326113,326113,326113,326113
379,Unlaminated Plastics Profile Shape Manufacturing,326121,326121,326121,326121,326121
380,Plastics Pipe and Pipe Fitting Manufacturing,326122,326122,326122,326122,326122
381,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",326130,326130,326130,326130,326130
382,Polystyrene Foam Product Manufacturing,326140,326140,326140,326140,326140
383,Urethane and Other Foam Product (except Polystyrene) Manufacturing,326150,326150,326150,326150,326150
384,Plastics Bottle Manufacturing,326160,326160,326160,326160,326160
385,Plastics Plumbing Fixture Manufacturing,326191,326191,326191,326191,326191
386,All Other Plastics Product Manufacturing,326199,326199,326192,326192,326192
387,All Other Plastics Product Manufacturing,326199,326199,326199,326199,326199
388,Boat Building,336612,336612,336612,326199,326199
389,Tire Manufacturing (except Retreading),326211,326211,326211,326211,326211
390,Tire Retreading,326212,326212,326212,326212,326212
391,Rubber and Plastics Hoses and Belting Manufacturing,326220,326220,326220,326220,326220
392,Rubber Product Manufacturing for Mechanical Use,326291,326291,326291,326291,326291
393,All Other Rubber Product Manufacturing,326299,326299,326299,326291,326291
394,All Other Rubber Product Manufacturing,326299,326299,326299,326299,326299
395,Boat Building,336612,336612,336612,326299,326299
396,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",327110,327110,327111,327111,327111
397,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",327110,327110,327112,327112,327112
398,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",327110,327110,327113,327113,327113
399,Clay Building Material and Refractories Manufacturing,327120,327120,327121,327121,327121
400,Clay Building Material and Refractories Manufacturing,327120,327120,327122,327122,327122
401,Clay Building Material and Refractories Manufacturing,327120,327120,327123,327123,327123
402,Clay Building Material and Refractories Manufacturing,327120,327120,327124,327124,327124
403,Clay Building Material and Refractories Manufacturing,327120,327120,327125,327125,327125
404,Flat Glass Manufacturing,327211,327211,327211,327211,327211
405,Other Pressed and Blown Glass and Glassware Manufacturing,327212,327212,327212,327212,327212
406,Glass Container Manufacturing,327213,327213,327213,327213,327213
407,Glass Product Manufacturing Made of Purchased Glass,327215,327215,327215,327215,327215
408,Cement Manufacturing,327310,327310,327310,327310,327310
409,Ready-Mix Concrete Manufacturing,327320,327320,327320,327320,327320
410,Concrete Block and Brick Manufacturing,327331,327331,327331,327331,327331
411,Concrete Pipe Manufacturing,327332,327332,327332,327332,327332
412,Other Concrete Product Manufacturing,327390,327390,327390,327390,327390
413,Lime Manufacturing,327410,327410,327410,327410,327410
414,Gypsum Product Manufacturing,327420,327420,327420,327420,327420
415,Abrasive Product Manufacturing,327910,327910,327910,327910,327910
